ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
13 Sep 2024 15:05:58.293,30567.12914690827,73576.29287482705,147670436.3709827,-22273538.5871829,-9625309.611490544,147666042.4858965,-22278533.97310524,-9626749.886898138,-969698.9568763375,-621086.3625320308,-238108.5658539552,0,0,0
13 Sep 2024 15:07:29.952,30567.13020777311,73667.9515964468,147670539.2420284,-22270721.7261256,-9624778.294448605,147666426.328617,-22276070.39009271,-9625682.011745837,-969697.912855953,-621087.0568918996,-238108.8836875353,0,0,0
13 Sep 2024 15:09:01.610,30567.13126863705,73759.61024137214,147670598.3868448,-22267961.66246179,-9624256.60051856,147666810.1224987,-22273606.80229569,-9624614.134547612,-969696.8688355386,-621087.7512497455,-238109.2015202362,0,0,0
13 Sep 2024 15:10:33.272,30567.13232953125,73851.2715005083,147670617.2558694,-22265261.4621908,-9623738.697324382,147667193.8788067,-22271143.13738892,-9623546.223953051,-969695.8247844875,-621088.4456259459,-238109.5193613917,0,0,0
13 Sep 2024 15:12:04.938,30567.13339048166,73942.93761590961,147670599.7243637,-22262623.57109963,-9623218.71478859,147667577.6069219,-22268679.33511056,-9622478.253840812,-969694.7806772888,-621089.1400374882,-238109.8372187782,0,0,0
13 Sep 2024 15:13:36.613,30567.13445153371,74034.61251282133,147670550.05095,-22260049.72779066,-9622690.794615656,147667961.3232648,-22266215.28995712,-9621410.178478906,-969693.7364692092,-621089.8345141038,-238110.1551060006,0,0,0
13 Sep 2024 15:15:08.298,30567.13551271225,74126.29833837273,147670472.8336521,-22257541.04397554,-9622149.171186276,147668345.0368069,-22263750.94421646,-9620341.972851196,-969692.6921358705,-621090.5290720575,-238110.4730305094,0,0,0
13 Sep 2024 15:16:39.998,30567.13657405452,74217.99831090029,147670372.9607657,-22255097.91137762,-9621588.215499789,147668728.7609972,-22261286.21138362,-9619273.599460892,-969691.6476404667,-621091.2237357348,-238110.7910034619,0,0,0
13 Sep 2024 15:18:11.714,30567.13763557362,74309.71356070368,147670255.5626805,-22252720.08183206,-9621002.513224006,147669112.500542,-22258821.06107563,-9618205.04513808,-969690.6029702127,-621091.9185136892,-238111.1090287752,0,0,0
13 Sep 2024 15:19:43.447,30567.13869730629,74401.44726337167,147670125.9536083,-22250406.55997549,-9620386.895893818,147669496.2687012,-22256355.40793506,-9617136.272883384,-969689.5580889285,-621092.6134299822,-238111.4271174651,0,0,0
13 Sep 2024 15:21:15.198,30567.13975924164,74493.1984781404,147669989.584139,-22248155.76962183,-9619736.535893572,147669880.0615104,-22253889.2772449,-9616067.293656085,-969688.513007313,-621093.3084774874,-238111.7452662662,0,0,0
13 Sep 2024 15:22:46.968,30567.14082139128,74584.96820643777,147669851.9757555,-22245965.41475175,-9619046.958398532,147670263.8831298,-22251422.64208503,-9614998.095787305,-969687.4677139819,-621094.0036637858,-238112.0634786505,0,0,0
13 Sep 2024 15:24:18.755,30567.14188373565,74676.75476035802,147669718.6690473,-22243832.61673034,-9618314.122165151,147670647.7264718,-22248955.54782073,-9613928.698941272,-969686.4222281575,-621094.6989760883,-238112.3817487657,0,0,0
